name,size,insert,lookup,delete,checksum
libdynamic,267343,62.996200,11.813620,19.494174,537585927128445
std::map_unordered,243039,212.671888,66.473470,130.785927,536439415179825
google::dense_hash_map,243039,46.575545,17.019710,22.035060,536439415179825
ulib::align_hash_map,243039,50.938582,27.932310,13.479252,536439415179825
tommyds hashdyn,243039,133.570744,31.390660,67.441797,536439415179825
khash,243039,57.860245,20.538590,14.295755,536439415179825
libdynamic,243039,43.922634,11.650680,23.360164,536439415179825
std::map_unordered,220944,159.508744,69.058790,120.265656,536430644684185
google::dense_hash_map,220944,47.995619,16.145880,21.057517,536430644684185
ulib::align_hash_map,220944,53.077581,27.056910,12.998262,536430644684185
tommyds hashdyn,220944,130.839919,30.489030,67.858055,536430644684185
khash,220944,60.569180,19.701580,13.777826,536430644684185
libdynamic,220944,45.760799,10.784940,21.430362,536430644684185
std::map_unordered,200858,158.244501,67.291670,115.918664,538097773075755
google::dense_hash_map,200858,49.763052,15.789510,20.345747,538097773075755
ulib::align_hash_map,200858,55.791320,26.371240,12.673321,538097773075755
tommyds hashdyn,200858,138.547317,29.669110,67.728599,538097773075755
khash,200858,63.513781,19.205110,13.202999,538097773075755
libdynamic,200858,47.685355,10.248040,19.825693,538097773075755
std::map_unordered,182598,157.542399,65.457200,112.601743,537785345943285
google::dense_hash_map,182598,51.340058,15.237560,19.630620,537785345943285
ulib::align_hash_map,182598,58.194624,26.221450,12.356849,537785345943285
tommyds hashdyn,182598,144.443762,28.935300,66.957464,537785345943285
khash,182598,66.924988,18.729580,12.932212,537785345943285
libdynamic,182598,49.818021,9.694380,18.585039,537785345943285
std::map_unordered,165998,157.326149,63.504140,108.537796,536791517713080
google::dense_hash_map,165998,53.238937,15.160210,19.007392,536791517713080
ulib::align_hash_map,165998,60.840751,25.650820,11.914806,536791517713080
tommyds hashdyn,165998,153.849697,28.503760,67.292624,536791517713080
khash,165998,70.454186,18.570260,12.637953,536791517713080
libdynamic,165998,52.381017,9.447000,17.227991,536791517713080
std::map_unordered,150907,157.092454,61.419010,104.481502,536610538368035
google::dense_hash_map,150907,55.115641,14.936890,18.507909,536610538368035
ulib::align_hash_map,150907,64.633264,25.167160,11.673832,536610538368035
tommyds hashdyn,150907,163.530267,27.626800,67.197453,536610538368035
khash,150907,75.844023,18.136840,12.269471,536610538368035
libdynamic,150907,55.078280,9.228390,16.105230,536610538368035
std::map_unordered,137188,158.737069,59.536460,101.415313,536616815119230
google::dense_hash_map,137188,57.603559,15.054040,18.206745,536616815119230
ulib::align_hash_map,137188,67.464931,25.054040,11.623750,536616815119230
tommyds hashdyn,137188,171.842807,26.945420,67.268828,536616815119230
khash,137188,78.759585,18.021210,12.202124,536616815119230
libdynamic,137188,58.225902,9.012010,15.201235,536616815119230
std::map_unordered,124716,160.041390,57.940690,98.062398,538457727038365
google::dense_hash_map,124716,40.127995,11.932740,14.336276,538457727038365
ulib::align_hash_map,124716,47.411038,17.749360,10.745325,538457727038365
tommyds hashdyn,124716,104.022427,26.437530,54.500738,538457727038365
khash,124716,53.924035,12.743650,11.020960,538457727038365
libdynamic,124716,39.277823,9.057900,18.227757,538457727038365
std::map_unordered,113378,162.862416,55.958090,95.249272,535849558498275
google::dense_hash_map,113378,41.128799,10.680280,12.990280,535849558498275
ulib::align_hash_map,113378,50.064060,16.707710,10.012357,535849558498275
tommyds hashdyn,113378,100.140689,25.431430,54.844053,535849558498275
khash,113378,56.495123,11.767250,10.367073,535849558498275
libdynamic,113378,40.722424,8.088500,16.300041,535849558498275
std::map_unordered,103070,118.826254,53.270690,82.010323,538103280757780
google::dense_hash_map,103070,42.965092,10.369590,12.374212,538103280757780
ulib::align_hash_map,103070,52.141525,16.053550,9.449006,538103280757780
tommyds hashdyn,103070,98.835015,24.478130,54.906995,538103280757780
khash,103070,59.818880,11.371680,9.782342,538103280757780
libdynamic,103070,42.925032,7.601190,14.972582,538103280757780
std::map_unordered,93699,118.227462,50.355580,78.644094,538151298216325
google::dense_hash_map,93699,45.174623,10.128040,11.857170,538151298216325
ulib::align_hash_map,93699,55.174591,15.748930,8.926381,538151298216325
tommyds hashdyn,93699,103.984013,23.604620,54.298637,538151298216325
khash,93699,62.971163,11.268020,9.319502,538151298216325
libdynamic,93699,45.325681,7.184280,13.793328,538151298216325
std::map_unordered,85180,117.350129,47.293980,75.021965,537640793454235
google::dense_hash_map,85180,47.023668,9.598000,11.086206,537640793454235
ulib::align_hash_map,85180,57.966811,14.794060,8.460578,537640793454235
tommyds hashdyn,85180,109.310073,21.904770,54.237098,537640793454235
khash,85180,66.737368,11.948420,9.487227,537640793454235
libdynamic,85180,47.869077,6.670820,12.701303,537640793454235
std::map_unordered,77436,117.509117,44.201460,71.635015,537646231265280
google::dense_hash_map,77436,49.771153,9.095420,10.673485,537646231265280
ulib::align_hash_map,77436,61.118175,15.474760,8.291221,537646231265280
tommyds hashdyn,77436,116.016052,20.677630,54.756702,537646231265280
khash,77436,70.661152,11.897270,9.355636,537646231265280
libdynamic,77436,50.591430,6.182080,11.702438,537646231265280
std::map_unordered,70396,117.429712,42.588550,69.917950,538337985081555
google::dense_hash_map,70396,53.209714,8.845550,10.318697,538337985081555
ulib::align_hash_map,70396,64.761151,16.796570,8.438533,538337985081555
tommyds hashdyn,70396,123.754219,20.962630,54.324933,538337985081555
khash,70396,74.973450,11.927800,9.274490,538337985081555
libdynamic,70396,54.156784,5.928330,10.912452,538337985081555
std::map_unordered,63996,117.169495,37.411250,65.733765,533610210339155
google::dense_hash_map,63996,36.974889,10.839090,13.603413,533610210339155
ulib::align_hash_map,63996,44.932527,17.043360,10.421026,533610210339155
tommyds hashdyn,63996,74.424073,17.698890,43.356569,533610210339155
khash,63996,50.244078,12.113820,10.731077,533610210339155
libdynamic,63996,36.935371,8.690130,17.860835,533610210339155
std::map_unordered,58178,119.739214,34.461760,62.654268,537225568661305
google::dense_hash_map,58178,38.449259,10.035690,12.682285,537225568661305
ulib::align_hash_map,58178,47.405995,16.031310,9.682801,537225568661305
tommyds hashdyn,58178,75.168861,16.393450,43.215511,537225568661305
khash,58178,52.823731,11.248260,10.044501,537225568661305
libdynamic,58178,38.461446,7.845640,16.389288,537225568661305
std::map_unordered,52889,93.746242,33.337840,61.445556,536459704090360
google::dense_hash_map,52889,40.331865,9.404410,11.900622,536459704090360
ulib::align_hash_map,52889,50.552213,15.210890,9.219157,536459704090360
tommyds hashdyn,52889,74.997731,15.628010,42.751555,536459704090360
khash,52889,55.709959,10.537270,9.601524,536459704090360
libdynamic,52889,40.373537,7.206190,14.933956,536459704090360
std::map_unordered,48080,94.412916,29.990310,59.278640,536638053942495
google::dense_hash_map,48080,42.047899,8.787260,11.236855,536638053942495
ulib::align_hash_map,48080,52.459110,14.301030,8.502496,536638053942495
tommyds hashdyn,48080,75.967408,14.394670,42.463103,536638053942495
khash,48080,58.678640,9.838590,8.893178,536638053942495
libdynamic,48080,42.439892,6.430370,13.499896,536638053942495
std::map_unordered,43709,93.795740,29.762310,58.033288,535133427921620
google::dense_hash_map,43709,44.637077,8.394060,10.718616,535133427921620
ulib::align_hash_map,43709,55.769750,13.785840,8.111373,535133427921620
tommyds hashdyn,43709,79.462308,13.497380,42.241415,535133427921620
khash,43709,62.289666,9.451510,8.516461,535133427921620
libdynamic,43709,45.185362,6.039540,12.842755,535133427921620
std::map_unordered,39735,94.373147,27.684050,56.248698,536421998652130
google::dense_hash_map,39735,46.738291,7.860380,10.190864,536421998652130
ulib::align_hash_map,39735,59.223581,13.060580,7.588172,536421998652130
tommyds hashdyn,39735,82.802869,12.593560,42.290776,536421998652130
khash,39735,65.764867,8.922760,8.036391,536421998652130
libdynamic,39735,47.270140,5.451830,11.581578,536421998652130
std::map_unordered,36122,95.346935,23.981190,53.396074,539573541932295
google::dense_hash_map,36122,49.465063,7.492310,9.745031,539573541932295
ulib::align_hash_map,36122,62.286750,12.677930,7.298904,539573541932295
tommyds hashdyn,36122,88.253807,11.622880,41.486296,539573541932295
khash,36122,69.835225,8.581680,7.733680,539573541932295
libdynamic,36122,50.660152,5.098980,10.546066,539573541932295
std::map_unordered,32838,96.845362,22.330090,51.750959,537443991540195
google::dense_hash_map,32838,52.703453,7.188220,9.411596,537443991540195
ulib::align_hash_map,32838,65.658840,12.185510,7.016566,537443991540195
tommyds hashdyn,32838,94.516962,11.211140,41.682289,537443991540195
khash,32838,74.294811,8.258840,7.442506,537443991540195
libdynamic,32838,53.858396,4.726750,9.830227,537443991540195
std::map_unordered,29852,99.417158,21.709680,51.154830,539133190628985
google::dense_hash_map,29852,36.328521,9.733280,12.279144,539133190628985
ulib::align_hash_map,29852,44.158850,15.454680,9.493736,539133190628985
tommyds hashdyn,29852,61.400911,10.133090,35.701997,539133190628985
khash,29852,49.713755,10.766350,9.758475,539133190628985
libdynamic,29852,36.609741,7.784250,16.385301,539133190628985
std::map_unordered,27138,102.005122,20.829800,50.224224,537035843062510
google::dense_hash_map,27138,37.823163,9.111030,11.603508,537035843062510
ulib::align_hash_map,27138,46.847925,14.560800,8.885032,537035843062510
tommyds hashdyn,27138,60.983897,9.125380,34.940084,537035843062510
khash,27138,52.790036,10.101980,9.309713,537035843062510
libdynamic,27138,38.376667,6.996600,15.200273,537035843062510
std::map_unordered,24670,84.500162,25.169560,53.046575,540598588717760
google::dense_hash_map,24670,39.342440,8.372200,10.716619,540598588717760
ulib::align_hash_map,24670,49.103770,13.690910,8.201013,540598588717760
tommyds hashdyn,24670,63.370734,8.734820,35.295622,540598588717760
khash,24670,55.609201,9.305680,8.494690,540598588717760
libdynamic,24670,39.973166,6.258790,13.598541,540598588717760
std::map_unordered,22427,88.734784,24.145410,52.280822,535702788945340
google::dense_hash_map,22427,42.806349,8.039980,9.984929,535702788945340
ulib::align_hash_map,22427,51.998930,13.143430,7.684800,535702788945340
tommyds hashdyn,22427,65.800241,8.421630,35.332947,535702788945340
khash,22427,59.164578,8.822570,8.098051,535702788945340
libdynamic,22427,42.536362,5.722680,12.413876,535702788945340
std::map_unordered,20388,86.822199,23.181150,50.843437,539269726920000
google::dense_hash_map,20388,43.973563,7.530370,9.719050,539269726920000
ulib::align_hash_map,20388,55.032764,12.488920,7.290171,539269726920000
tommyds hashdyn,20388,69.925692,8.192100,36.101481,539269726920000
khash,20388,63.128016,8.417830,7.797479,539269726920000
libdynamic,20388,45.795517,5.195410,11.530851,539269726920000
std::map_unordered,18534,91.142927,22.337790,50.295241,538175979528385
google::dense_hash_map,18534,48.234974,7.191520,8.980468,538175979528385
ulib::align_hash_map,18534,58.651775,12.060310,6.863494,538175979528385
tommyds hashdyn,18534,74.135265,7.859340,36.552444,538175979528385
khash,18534,67.244308,7.947160,7.350653,538175979528385
libdynamic,18534,48.727258,4.731190,10.610985,538175979528385
std::map_unordered,16849,90.278592,21.426620,49.326607,537718805645445
google::dense_hash_map,16849,49.895543,6.835830,8.755891,537718805645445
ulib::align_hash_map,16849,62.919224,11.698600,6.595703,537718805645445
tommyds hashdyn,16849,79.289275,7.709040,37.366965,537718805645445
khash,16849,72.266425,7.693550,7.042733,537718805645445
libdynamic,16849,51.821532,4.384450,9.896374,537718805645445
std::map_unordered,15317,94.848795,20.873190,48.682510,535096966511680
google::dense_hash_map,15317,35.547953,8.902990,10.862636,535096966511680
ulib::align_hash_map,15317,42.211269,14.233440,9.181041,535096966511680
tommyds hashdyn,15317,54.723967,8.906890,33.320298,535096966511680
khash,15317,47.621205,9.655400,9.463929,535096966511680
libdynamic,15317,35.061566,7.138660,15.144480,535096966511680
std::map_unordered,13924,94.434645,19.748020,47.960500,534761754526430
google::dense_hash_map,13924,36.128627,8.087630,10.230609,534761754526430
ulib::align_hash_map,13924,44.382002,13.209530,8.454539,534761754526430
tommyds hashdyn,13924,55.946136,8.489880,33.599325,534761754526430
khash,13924,50.111606,8.902540,8.785406,534761754526430
libdynamic,13924,36.452241,6.121530,13.809609,534761754526430
std::map_unordered,12658,79.536025,24.126040,49.614868,538337217623340
google::dense_hash_map,12658,37.801548,7.577910,9.626086,538337217623340
ulib::align_hash_map,12658,47.271212,12.576490,7.946516,538337217623340
tommyds hashdyn,12658,57.661005,8.183910,34.381498,538337217623340
khash,12658,53.338284,8.267040,8.297993,538337217623340
libdynamic,12658,38.689761,5.355410,12.703271,538337217623340
std::map_unordered,11507,79.929087,22.425520,48.173199,536906164605060
google::dense_hash_map,11507,39.634396,6.955540,8.829843,536906164605060
ulib::align_hash_map,11507,49.744851,11.703510,7.295385,536906164605060
tommyds hashdyn,11507,58.940297,7.840050,34.073955,536906164605060
